osm_id,name,other_tags,latitude,longitude
245673601,Chandan Nagar,,19.1217086,72.923203
245674432,Paspoli Village,,19.1336235,72.8975934
245674983,Peru Baug,,19.1391201,72.9048058
245675316,Jamil Nagar,,19.1433206,72.9251908
245675397,Ishwar Nagar,,19.139,72.9352
245675466,Samarath Nagar,,19.1442447,72.9244247
245675509,Dina Bama Estate,,19.1401586,72.9370703
619992025,Kanjurmarg,"""internet_access""=>""no"",""name:hi""=>""कांजुरमार्ग"",""name:ml""=>""കാഞ്ജൂർമാർഗ്"",""network""=>""IR"",""operator""=>""CR"",""public_transport""=>""station"",""railway""=>""station"",""wikidata""=>""Q6363526"",""wikipedia""=>""en:Kanjurmarg railway station""",19.1296868,72.9283701
620002682,Vikhroli,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1117831,72.9281186
630673338,Thane,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1863556,72.9759
630676214,Mulund,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1724905,72.9569688
667354765,IIT Main Gate,"""access""=>""private""",19.1252159,72.9164566
667392410,Jyotiba Phule Nagar,,19.1325956,72.9195901
668478113,Hostel No. 5,"""tourism""=>""hostel""",19.1350214,72.9096978
668478124,Hostel No. 4,"""tourism""=>""hostel""",19.1362829,72.9103031
668478125,Hostel No. 2,"""tourism""=>""hostel""",19.1364536,72.9125695
668478126,Hostel No. 3,"""tourism""=>""hostel""",19.1362317,72.9114868
668478127,Hostel No. 1,"""tourism""=>""hostel""",19.1362571,72.9139938
668494241,Convocation Hall,"""amenity""=>""theatre""",19.1319441,72.9143666
668494244,Shailesh J Mehta Institute of Management,"""alt_name""=>""SOM & IRCC"",""amenity""=>""college"",""toilets:wheelchair""=>""no"",""wheelchair""=>""limited""",19.1317025,72.9157388
668494246,LT-PCSA,"""amenity""=>""theatre"",""name:en""=>""PC Saxena Auditorium"",""toilets:wheelchair""=>""no"",""wheelchair""=>""yes""",19.1322817,72.9158301
668504454,Hostel No. 10,"""tourism""=>""hostel""",19.1290631,72.9157813
668506109,Hostel No. 11,"""tourism""=>""hostel""",19.1329296,72.9118107
668506112,Hostel No. 8,"""toilets:wheelchair""=>""no"",""tourism""=>""hostel"",""wheelchair""=>""limited""",19.1335359,72.9108558
668511950,IDC - Industrial Design Center,"""addr:city""=>""Mumbai"",""addr:housename""=>""Indian Institute of Technology Bombay"",""addr:suburb""=>""Powai"",""amenity""=>""college"",""website""=>""http://www.idc.iitb.ac.in/"",""wheelchair""=>""yes""",19.1333839,72.9171775
668699201,Lake Side Gate,"""access""=>""private"",""motorcar""=>""yes"",""motorcycle""=>""yes""",19.1238971,72.9113718
668708219,Admin Building,"""amenity""=>""college"",""toilets:wheelchair""=>""no"",""wheelchair""=>""yes""",19.1327013,72.9153012
1185579351,Larsen & Toubro,,19.128396,72.89372
1366054340,Vidya Vihar,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.0794239,72.8973128
1367093217,Kurla Junction,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.065041,72.8791094
1608381628,Guest House,"""tourism""=>""guest_house""",19.1297012,72.9147401
1608381874,Gulmohar,"""amenity""=>""restaurant""",19.129793,72.9151419
1640260042,Vikhroli East,,19.1172592,72.9355194
1640273573,Bhandup West,,19.1462636,72.9339461
1640273575,Kanjurmarg East,,19.1378308,72.9361964
1640273576,Kanjurmarg West,,19.1281626,72.9260991
1640461329,Tagore Nagar,,19.1196145,72.9343142
1643352018,Mulund,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1723697,72.9570846
1643352023,Mulund,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.172517,72.9569289
1644081910,Chhatrapati Nagar,,19.1320512,72.9366078
1644081911,Datar Colony,,19.1359152,72.9347944
1646887494,Surya Nagar,,19.1190441,72.9234984
1647133443,Thane,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1861975,72.9759502
1647250933,Pipeline Road,"""access""=>""private""",19.1355525,72.901026
1648244664,Tunga Village,,19.119371,72.8924338
1651678056,Kanjur Gaon,"""name:en""=>""Kanjur Village""",19.133697,72.9381936
1691717604,Empire Plaza,"""addr:street""=>""LBS Marg"",""building""=>""office""",19.1235964,72.9237521
1691718310,Tata Consultancy Services Ltd. Empire Plaza,"""building""=>""office""",19.1234646,72.923795
1855761130,Mantra,"""amenity""=>""restaurant"",""toilets:wheelchair""=>""no"",""wheelchair""=>""limited""",19.123761,72.9131305
1855761135,Pizza Hut,"""amenity""=>""fast_food"",""cuisine""=>""pizza"",""toilets:wheelchair""=>""no"",""wheelchair""=>""no""",19.1235847,72.912496
1855812192,Powai Dental Clinic,"""amenity""=>""hospital"",""emergency""=>""no""",19.1246531,72.9172844
1855812193,State Bank of India,"""amenity""=>""bank"",""atm""=>""yes"",""brand:wikidata""=>""Q1340361"",""brand:wikipedia""=>""en:State Bank of India"",""short_name""=>""SBI""",19.1251505,72.9162941
1855812194,Powai Hospital,"""addr:district""=>""Mumbai Suburban"",""addr:full""=>""1-A, BSNL Colony, Powai, Mumbai"",""addr:postcode""=>""400076"",""addr:state""=>""Maharastra"",""amenity""=>""hospital""",19.124088,72.9164511
1855812196,South Indian Bank,"""amenity""=>""bank"",""atm""=>""yes""",19.1241767,72.9168507
1855825021,Home Town,"""shop""=>""supermarket""",19.1204539,72.9263887
1867631840,Residence Inn Powai,"""tourism""=>""hotel""",19.1346222,72.8987555
2081722937,H12,"""bus""=>""yes"",""public_transport""=>""platform""",19.1355677,72.9055659
2236679734,Maroshi Naka,"""junction""=>""yes""",19.1354361,72.8823258
2313088123,State Bank of India,"""addr:city""=>""NITIE PO, Powai, Mumbai"",""addr:housename""=>""State Bank of India"",""addr:postcode""=>""400087"",""addr:street""=>""Vihar Lake Marg"",""amenity""=>""bank"",""atm""=>""yes"",""brand:wikidata""=>""Q1340361"",""brand:wikipedia""=>""en:State Bank of India"",""phone""=>""022-28575099"",""short_name""=>""SBI""",19.1352428,72.9005482
2313090353,NITIE Post Office,"""amenity""=>""post_office"",""collection_times""=>""09:30-16:30"",""operator""=>""India Post""",19.1353745,72.9005147
2313106108,Vihar Lake,"""operator""=>""BEST"",""shelter""=>""yes""",19.1397456,72.8982965
2313110689,NITIE,"""operator""=>""BEST"",""shelter""=>""no""",19.1349868,72.8997985
2313134564,Ramada Hotel,"""operator""=>""BEST"",""shelter""=>""no""",19.1365991,72.8993659
2313139917,Ramada Powai Hotel & Convention Center,"""operator""=>""Ramada"",""tourism""=>""hotel"",""website""=>""https://ramadapowai.com/""",19.1359551,72.8990184
2319202487,Dr. Babasaheb Ambedkar Udyan/Powai Gardens,"""bus""=>""yes"",""operator""=>""BEST"",""public_transport""=>""platform""",19.1256563,72.8948183
2319202488,Dr. Babasaheb Ambedkar Udyan/Powai Gardens,"""bus""=>""yes"",""public_transport""=>""platform""",19.1256107,72.8945178
2319202489,Dr. Babasaheb Ambedkar Udyan/Powai Gardens,"""bus""=>""yes"",""public_transport""=>""platform""",19.1258083,72.893563
2319202490,Dr. Babasaheb Ambedkar Udyan/Powai Gardens,"""bus""=>""yes"",""operator""=>""BEST"",""public_transport""=>""platform"",""shelter""=>""yes""",19.1271565,72.8944052
2319206206,Indian Register of Shipping,"""addr:city""=>""Powai, Mumbai"",""addr:housename""=>""Indian Registrar of Shipping"",""addr:housenumber""=>""52 A"",""addr:postcode""=>""400072"",""addr:street""=>""Adi Shankaracharya Marg"",""office""=>""administrative"",""phone""=>""+91-22-30519400"",""website""=>""https://www.irclass.org/""",19.1234059,72.896905
2322736998,Efkon India Pvt Ltd,,19.119889,72.9264519
3213640906,New Swimming Pool,"""covered""=>""yes"",""designation""=>""New Swimming Pool"",""leisure""=>""swimming_pool"",""operator""=>""SAC"",""sport""=>""swimming""",19.13579,72.9127435
3217772727,Security check,"""shop""=>""convenience""",19.1314047,72.9153569
3248305759,Bhandup,"""internet_access""=>""no"",""name:hi""=>""भांडुप"",""name:ml""=>""ഭാണ്ഡുപ്പ്"",""network""=>""IR"",""operator""=>""CR"",""public_transport""=>""station"",""railway""=>""station"",""toilets:wheelchair""=>""no"",""wheelchair""=>""limited"",""wikidata""=>""Q4900992"",""wikipedia""=>""en:Bhandup railway station""",19.1438684,72.9384327
3320239673,"TREELABS, N5-BAY",,19.1338705,72.9169284
3518555133,munnar chawl,"""building""=>""house""",19.1389306,72.9239672
3523224212,Kokan Nagar,,19.1462404,72.9289053
3523229391,Bata store,"""shop""=>""shoes""",19.1260616,72.9177543
3523245870,Supreme Infrastructure India Limited,,19.1257428,72.9176041
3523251660,Monginis Cake,"""shop""=>""bakery""",19.1248609,72.9168933
3542172075,vindu's house,"""building""=>""detached""",19.1180743,72.9172315
3546166525,neptune tower,,19.1412018,72.9329172
3546177010,aditi poojari,"""addr:city""=>""bhandup"",""addr:housenumber""=>""1 subhash rd."",""addr:postcode""=>""400 078"",""addr:street""=>""LBS Marg"",""building""=>""residential""",19.1457255,72.9308767
3549111421,R.A.D.A.V COLLEGE BHANDUP (E),"""addr:city""=>""MUMBAI"",""addr:street""=>""DATAR COLONY"",""building""=>""college""",19.1386344,72.9355565
3554023749,bharat petroleum,"""traffic_signals""=>""signal""",19.1423125,72.9326787
3554037797,ishwar nagar stop,"""bus""=>""yes"",""public_transport""=>""platform""",19.1443582,72.9343821
3554043837,Dena Bank,"""addr:city""=>""mumbai"",""addr:housenumber""=>""Dena bank"",""addr:postcode""=>""400078"",""addr:street""=>""Lal Bahadur Shastri Marg"",""amenity""=>""bank"",""branch""=>""unknown"",""brand:wikidata""=>""Q3595747"",""brand:wikipedia""=>""en:Dena Bank"",""name:en""=>""Dena Bank"",""opening_hours""=>""10:00-15:30"",""operator""=>""unknown"",""website""=>""http://www.denabank.com""",19.1445069,72.9342532
3554048493,shiv prasad,"""amenity""=>""fast_food"",""cuisine""=>""fast_food""",19.1445626,72.934634
3554052424,Nair classes,,19.1452316,72.9335129
3554059493,Madras cafe,"""amenity""=>""restaurant"",""cuisine""=>""regional""",19.1454647,72.9352402
3587131699,Anket Nursing Home,"""amenity""=>""hospital"",""emergency""=>""yes""",19.1308944,72.9299048
3587142678,Nutan Nagar,,19.1301932,72.9359451
3587151110,St.Francis Xaviers Church,"""amenity""=>""place_of_worship"",""religion""=>""christian""",19.1331785,72.9340804
3587156841,Bharang Hotel,"""amenity""=>""restaurant""",19.1299442,72.9305834
3587157576,Arogaya Hospital,,19.1360727,72.935824
3588268363,aksherdham temple,"""amenity""=>""place_of_worship"",""religion""=>""buddhist""",19.1183661,72.9171953
3602013974,Mama Mirashi nagar,"""building""=>""house""",19.1301871,72.9368502
3602013981,vatsalya trust,"""building""=>""public""",19.1292096,72.937792
3602053088,Hanuman Tekdi,"""alt_name""=>""Sameer Hill"",""natural""=>""peak""",19.1411884,72.9185329
3602807360,India Post,,19.1188111,72.9341948
3602820589,Guru Gobind English High School,"""amenity""=>""school""",19.122151,72.9345592
3602843667,Jankalyan Sahakari bank,"""addr:street""=>""Eastern Expressway"",""amenity""=>""bank""",19.1173138,72.9366231
3602868335,State Bank of India,"""amenity""=>""bank"",""brand:wikidata""=>""Q1340361"",""brand:wikipedia""=>""en:State Bank of India"",""short_name""=>""SBI""",19.120212,72.9386605
3602876220,Vikhroli Police Station,"""amenity""=>""police""",19.1187189,72.9373252
3602878176,MEHMAN NAWAZI,"""amenity""=>""restaurant""",19.1112209,72.9088668
3680461765,Farid Nagar,"""addr:city""=>""Mumbai"",""addr:place""=>""Bhandup West""",19.1395152,72.923434
4008815042,Nahur,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1541774,72.946473
4010213288,Kanjurmarg,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1285976,72.9282208
4228622740,Hostel-9 Canteen,"""addr:city""=>""Mumbai"",""addr:postcode""=>""400076"",""addr:street""=>""Main Gate Road"",""amenity""=>""restaurant"",""capacity""=>""20"",""smoking""=>""no"",""takeaway""=>""no""",19.135783,72.9084012
4237027990,Amrut ,"""amenity""=>""restaurant"",""cuisine""=>""indian""",19.1351491,72.9001151
4258411009,Vikhroli,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1117623,72.9283198
4258411011,Vikhroli,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1117773,72.9281555
4258411016,Vikhroli,"""public_transport""=>""stop_position"",""railway""=>""stop"",""train""=>""yes""",19.1117613,72.9282893
